X,Y,Z2
16.81767778,-94.66438333,87.7
16.81860278,-94.64858333,96
16.818475,-94.64753889,94.4
16.81896111,-94.64679722,95.4
16.81937778,-94.64662222,88.7
16.81973611,-94.64647222,94.4
16.81807222,-94.64771111,87.97
16.817325,-94.64735556,89.14
16.81676667,-94.64667222,86.93
16.83292222,-94.64600833,87.73
16.83198056,-94.645675,83.2
16.81762778,-94.65138056,88.81
16.818175,-94.651775,88.44
16.81773889,-94.65234722,89.02
16.81931944,-94.64895,94.9
16.81946667,-94.64776944,94.4
16.82045556,-94.64779167,96.7
16.82010556,-94.64758611,88.8
16.81861389,-94.65212222,88
16.87305833,-94.72363611,89.2
16.87249167,-94.72276111,91
16.87257778,-94.72207778,90.1
16.873325,-94.72176667,91
16.87228611,-94.72176667,95.5
16.87176944,-94.721625,91.9
16.87091667,-94.72183611,90.5
16.87045556,-94.72137778,94.3
16.86976944,-94.72173333,91.5
16.86885833,-94.72194444,92.3
16.86812222,-94.722575,93.3
16.86751389,-94.72327778,94.8
16.86687222,-94.7239,91.4
16.88274722,-94.72349167,94.2
16.88199722,-94.72293889,93.7
16.88188889,-94.72205278,90.1
16.88129722,-94.72248056,86.4
16.87212222,-94.72336111,87.8
16.87178333,-94.72318889,92.3
