X,Y,Z1
16.81767778,-94.66438333,24
16.81860278,-94.64858333,23.1
16.818475,-94.64753889,22.8
16.81896111,-94.64679722,22.5
16.81937778,-94.64662222,22.9
16.81973611,-94.64647222,22.9
16.81807222,-94.64771111,23.7
16.817325,-94.64735556,23.7
16.81676667,-94.64667222,23.6
16.83292222,-94.64600833,23.8
16.83198056,-94.645675,23.5
16.81762778,-94.65138056,24.4
16.818175,-94.651775,24.2
16.81773889,-94.65234722,24.3
16.81931944,-94.64895,23.1
16.81946667,-94.64776944,22.8
16.82045556,-94.64779167,23.1
16.82010556,-94.64758611,22.8
16.81861389,-94.65212222,25.2
16.87305833,-94.72363611,23.3
16.87249167,-94.72276111,26.8
16.87257778,-94.72207778,27.7
16.873325,-94.72176667,24.9
16.87228611,-94.72176667,24.7
16.87176944,-94.721625,25.6
16.87091667,-94.72183611,24.6
16.87045556,-94.72137778,24.8
16.86976944,-94.72173333,24.1
16.86885833,-94.72194444,24.2
16.86812222,-94.722575,24.5
16.86751389,-94.72327778,24.8
16.86687222,-94.7239,25.3
16.88274722,-94.72349167,25
16.88199722,-94.72293889,25.7
16.88188889,-94.72205278,26.3
16.88129722,-94.72248056,25.9
16.87212222,-94.72336111,25
16.87178333,-94.72318889,24.9
